POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
4,10930,NE00,BP,4073428220,1,,,,,NE00,BP,,8,CS,,19-074-1,20240624,,20250930,,,350103471815292850,350103471815292850,350103471815292850,60,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,19-075-1,,,,NPALLET-I1,X,356010017120062141,356010017120062141,356010017120062141,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9360,NE00,BP,40920301,1,,,,,NE00,BP,,99,CS,,19-075-1,20240507,,20250430,,,356010017120062141,356010017120062141,356010017120062141,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-076-1,,,,NPALLET-E1,X,350103471705078878,350103471705078878,350103471705078878,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9300,NE00,BP,2465409,1,,,,,NE00,BP,,17,CS,,19-076-1,20240604,,20251130,,,350103471705078878,350103471705078878,350103471705078878,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,20-001-2,,,,NPALLET-E1,X,350103471816900037,350103471816900037,350103471816900037,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8506,NE00,BP,2325700002,1,,,,,NE00,BP,,36,CS,,20-001-2,20241010,,20250930,,,350103471816900037,350103471816900037,350103471816900037,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-001-3,,,,NPALLET-I1,X,350001612890676521,350001612890676521,350001612890676521,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10772,NE00,BP,4205096201,1,,,,,NE00,BP,,45,CS,,20-001-3,20241004,,20260630,,,350001612890676521,350001612890676521,350001612890676521,68,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-001-4,,,,NPALLET-I1,X,376130355105053236,376130355105053236,376130355105053236,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9891,NE00,BP,42070948,1,,,,,NE00,BP,,6,CS,,20-001-4,20241009,,20250228,,,376130355105053236,376130355105053236,376130355105053236,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-001-5,,,,NPALLET-I1,X,350103474955980991,350103474955980991,350103474955980991,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9460,NE00,BP,42621091R,1,,,,,NE00,BP,,196,CS,,20-001-5,20240926,,20250930,,,350103474955980991,350103474955980991,350103474955980991,72,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-001-6,,,,NPALLET-I1,X,350103474955980892,350103474955980892,350103474955980892,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9460,NE00,BP,42621091R,1,,,,,NE00,BP,,196,CS,,20-001-6,20240926,,20250930,,,350103474955980892,350103474955980892,350103474955980892,74,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-1,,,,NPALLET-I1,X,376130313506068419,376130313506068419,376130313506068419,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9689,NE00,BP,41560848,1,,,,,NE00,BP,,353,CS,,20-002-1,20240827,,20250630,,,376130313506068419,376130313506068419,376130313506068419,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-2,,,,NPALLET-I1,X,350103474955981196,350103474955981196,350103474955981196,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9460,NE00,BP,42621091R,1,,,,,NE00,BP,,196,CS,,20-002-2,20240926,,20250930,,,350103474955981196,350103474955981196,350103474955981196,78,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-3,,,,NPALLET-I1,X,376130328244488139,376130328244488139,376130328244488139,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10751,NE00,BP,4263969061,1,,,,,NE00,BP,,105,CS,,20-002-3,20241008,,20260831,,,376130328244488139,376130328244488139,376130328244488139,80,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-4,,,,NPALLET-I1,X,350114769003271524,350114769003271524,350114769003271524,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8480,NE00,BP,41900952,1,,,,,NE00,BP,,60,CS,,20-002-4,20241002,,20250430,,,350114769003271524,350114769003271524,350114769003271524,82,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-5,,,,NPALLET-I1,X,350001612891070076,350001612891070076,350001612891070076,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10444,NE00,BP,4276096202,1,,,,,NE00,BP,,105,CS,,20-002-5,20241004,,20260930,,,350001612891070076,350001612891070076,350001612891070076,84,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-6,,,,NPALLET-I1,X,350018900021412712,350018900021412712,350018900021412712,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9708,NE00,BP,42053156,1,,,,,NE00,BP,,18,CS,,20-002-6,20241002,,20250731,,,350018900021412712,350018900021412712,350018900021412712,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-002-8,,,,NPALLET-I1,X,376130303155761380,376130303155761380,376130303155761380,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8552,NE00,BP,42500336,1,,,,,NE00,BP,,192,CS,,20-002-8,20241004,,20250630,,,376130303155761380,376130303155761380,376130303155761380,88,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-1,,,,NPALLET-I1,X,376130442230659447,376130442230659447,376130442230659447,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
